Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rate,Critic_score,Critic_positive_reviews,Critic_mixed_reviews,Critic_negative_reviews,User_score,User_positive_reviews,User_mixed_reviews,User_negative_reviews,Type
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Rockstar North,M,95.0,62.0,0.0,0.0,8.7,1900.0,222.0,62.0,Salon
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,Nintendo,E,77.0,29.0,8.0,0.0,7.1,7.0,8.0,2.0,Portable
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,Polyphony Digital,E,95.0,53.0,1.0,0.0,8.4,341.0,55.0,24.0,Salon
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Infinity Ward,M,88.0,79.0,2.0,0.0,3.7,2600.0,1100.0,5500.0,Salon
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,Treyarch,M,87.0,83.0,6.0,0.0,7.0,1300.0,509.0,396.0,Salon
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,Treyarch,M,83.0,18.0,3.0,0.0,6.0,558.0,267.0,373.0,Salon
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,Treyarch,M,83.0,67.0,6.0,0.0,5.8,1400.0,573.0,1000.0,Salon
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,Infinity Ward,M,94.0,100.0,0.0,0.0,7.8,1700.0,410.0,255.0,Salon
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,Infinity Ward,M,88.0,38.0,1.0,0.0,3.4,1400.0,600.0,3400.0,Salon
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,DMA Design,M,97.0,56.0,0.0,0.0,8.1,1200.0,355.0,77.0,Salon
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Game Arts,T,93.0,80.0,1.0,0.0,8.8,1400.0,153.0,44.0,Salon
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,Treyarch,M,88.0,55.0,3.0,0.0,6.9,833.0,362.0,261.0,Salon
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,Nintendo,E,86.0,55.0,2.0,0.0,8.1,159.0,44.0,10.0,Portable
Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,Retro Studios,E,85.0,64.0,9.0,0.0,8.2,814.0,195.0,40.0,Portable
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Bungie,M,94.0,85.0,1.0,0.0,8.7,2600.0,309.0,152.0,Salon
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,Rockstar North,M,97.0,66.0,0.0,0.0,8.5,9900.0,1100.0,801.0,Salon
Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Nintendo,E,94.0,13.0,0.0,0.0,9.0,1600.0,123.0,66.0,Salon
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,Polyphony Digital,E,89.0,69.0,5.0,0.0,9.2,878.0,40.0,32.0,Salon
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Nintendo,E,97.0,73.0,0.0,0.0,9.1,3600.0,170.0,161.0,Salon
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,Rockstar North,M,98.0,86.0,0.0,0.0,8.2,3300.0,618.0,309.0,Salon
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,Polyphony Digital,E,96.0,16.0,0.0,0.0,8.5,460.0,50.0,33.0,Salon
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,Nintendo,E,90.0,81.0,1.0,0.0,8.4,1300.0,230.0,68.0,Portable
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,Polyphony Digital,E,84.0,66.0,16.0,0.0,7.8,981.0,252.0,152.0,Salon
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,Infinity Ward,M,94.0,67.0,0.0,0.0,7.6,1100.0,309.0,199.0,Salon
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,Rockstar North,M,98.0,64.0,0.0,0.0,8.0,3200.0,720.0,440.0,Salon
Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,Nintendo,E,85.0,50.0,4.0,0.0,8.4,524.0,111.0,25.0,Portable
Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Ubisoft,E10+,74.0,9.0,6.0,0.0,8.0,18.0,3.0,2.0,Salon
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,Infinity Ward,M,73.0,19.0,9.0,1.0,2.8,348.0,289.0,1500.0,Salon
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,Bungie,M,91.0,93.0,6.0,0.0,8.4,2500.0,359.0,234.0,Salon
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,Nintendo,E,78.0,46.0,24.0,0.0,7.1,389.0,317.0,92.0,Portable
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,343 Industries,M,87.0,83.0,3.0,1.0,7.1,2500.0,806.0,783.0,Salon
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,SquareSoft,T,92.0,20.0,0.0,0.0,8.9,2300.0,116.0,176.0,Salon
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,Infinity Ward,M,71.0,5.0,5.0,0.0,2.9,176.0,189.0,749.0,Salon
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Ubisoft,E10+,74.0,13.0,11.0,0.0,7.2,17.0,14.0,4.0,Salon
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,Polyphony Digital,E,93.0,22.0,1.0,0.0,8.9,384.0,26.0,20.0,Salon
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,Infinity Ward,M,94.0,70.0,0.0,0.0,8.5,1600.0,229.0,74.0,Salon
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Mojang AB,E10+,82.0,54.0,9.0,0.0,8.2,1500.0,280.0,157.0,Salon
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,Nintendo,E,88.0,64.0,6.0,0.0,8.7,850.0,81.0,45.0,Portable
Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,Hudson Soft,E,72.0,14.0,12.0,1.0,7.8,121.0,63.0,7.0,Portable
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,Bethesda Game Studios,M,96.0,89.0,0.0,0.0,8.6,5000.0,518.0,393.0,Salon
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,EA Sports,E,82.0,37.0,5.0,0.0,4.4,309.0,215.0,521.0,Salon
Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Nd Cube,E,68.0,20.0,19.0,3.0,8.1,112.0,33.0,6.0,Salon
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Bungie,M,95.0,89.0,2.0,0.0,8.7,1600.0,148.0,100.0,Salon
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Hudson,E,62.0,9.0,25.0,7.0,6.7,116.0,116.0,43.0,Salon
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,Electronic Arts,E,88.0,36.0,0.0,1.0,6.7,221.0,98.0,87.0,Salon
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,The Sims Studio,T,86.0,74.0,1.0,0.0,7.8,841.0,314.0,86.0,Salon
GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Rare Ltd.,T,96.0,21.0,0.0,0.0,8.9,823.0,84.0,33.0,Salon
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Sega Sports R&D,E,67.0,10.0,24.0,2.0,7.5,39.0,42.0,2.0,Salon
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,SquareSoft,T,92.0,50.0,3.0,0.0,8.9,1700.0,127.0,93.0,Salon
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,SquareSoft,T,90.0,22.0,1.0,1.0,8.6,1000.0,136.0,74.0,Salon
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,Rockstar Leeds,M,88.0,62.0,3.0,0.0,8.1,282.0,93.0,17.0,Portable
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Nintendo EAD Tokyo,E,97.0,87.0,0.0,0.0,9.0,2500.0,119.0,139.0,Salon
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,EA DICE,T,73.0,31.0,28.0,0.0,5.1,855.0,747.0,1100.0,Salon
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,Sledgehammer Games,M,83.0,35.0,4.0,0.0,5.8,732.0,503.0,541.0,Salon
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,Nintendo,E,99.0,22.0,0.0,0.0,9.1,9000.0,431.0,601.0,Salon
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,Treyarch,M,84.0,76.0,8.0,0.0,7.9,524.0,198.0,35.0,Salon
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,EA DICE,M,84.0,53.0,4.0,0.0,7.5,1600.0,309.0,332.0,Salon
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,Nintendo,T,95.0,73.0,0.0,0.0,8.8,1800.0,158.0,79.0,Salon
Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Ubisoft Paris,E10+,49.0,2.0,10.0,9.0,6.0,10.0,14.0,7.0,Salon
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,EA DICE,M,85.0,35.0,3.0,0.0,7.5,1400.0,241.0,288.0,Salon
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,EA Black Box,E,85.0,30.0,3.0,0.0,8.5,231.0,41.0,7.0,Salon
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,Namco,T,96.0,15.0,0.0,0.0,8.9,952.0,74.0,32.0,Salon
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,HAL Labs,T,92.0,37.0,1.0,0.0,9.0,921.0,46.0,39.0,Salon
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,Nintendo,E,88.0,80.0,2.0,0.0,8.9,1800.0,101.0,106.0,Portable
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,Bethesda Game Studios,M,87.0,52.0,6.0,0.0,7.0,4100.0,1400.0,1400.0,Salon
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,Nintendo,E,87.0,55.0,3.0,0.0,8.7,452.0,57.0,10.0,Salon
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,Ubisoft,E10+,74.0,5.0,5.0,0.0,7.6,25.0,7.0,4.0,Salon
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,EA Canada,E,86.0,37.0,0.0,0.0,4.4,185.0,112.0,311.0,Salon
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,EA Canada,E,82.0,29.0,10.0,0.0,8.7,296.0,38.0,9.0,Salon
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,EA LA,T,88.0,27.0,2.0,0.0,8.3,145.0,42.0,5.0,Salon
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,Naughty Dog,T,92.0,96.0,1.0,0.0,8.4,4900.0,583.0,382.0,Salon
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,Epic Games,M,93.0,90.0,0.0,0.0,8.4,1300.0,221.0,78.0,Salon
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,Naughty Dog,T,96.0,105.0,0.0,0.0,8.8,6300.0,410.0,349.0,Salon
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,Infinity Ward,M,94.0,44.0,0.0,0.0,8.2,807.0,128.0,63.0,Salon
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,Nintendo,E,74.0,28.0,17.0,0.0,7.1,6.0,8.0,1.0,Portable
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,Rockstar San Diego,M,95.0,73.0,0.0,0.0,9.0,3400.0,215.0,120.0,Salon
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,EA Sports,E,82.0,40.0,7.0,0.0,5.8,507.0,335.0,352.0,Salon
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Retro Studios,E,87.0,73.0,4.0,0.0,8.6,522.0,57.0,24.0,Salon
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,Bethesda Game Studios,M,92.0,15.0,1.0,0.0,6.7,1800.0,304.0,766.0,Salon
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Bungie,M,97.0,68.0,0.0,0.0,8.6,2500.0,221.0,215.0,Salon
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,SquareSoft,E,85.0,43.0,3.0,0.0,8.5,961.0,114.0,69.0,Salon
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,Bungie,M,83.0,80.0,13.0,1.0,7.7,698.0,307.0,87.0,Salon
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,Rockstar San Diego,M,95.0,96.0,0.0,0.0,9.0,3200.0,220.0,131.0,Salon
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,Nintendo,E,92.0,60.0,1.0,0.0,8.3,945.0,169.0,69.0,Salon
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,Blizzard Entertainment,T,93.0,56.0,1.0,0.0,7.5,2200.0,512.0,541.0,Salon
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,Reflections Interactive,T,87.0,21.0,1.0,0.0,8.0,143.0,39.0,9.0,Salon
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,Rare Ltd.,E10+,73.0,27.0,24.0,0.0,7.7,91.0,34.0,11.0,Salon
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,Epic Games,M,91.0,94.0,2.0,0.0,8.1,1700.0,267.0,186.0,Salon
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,Epic Games,M,94.0,88.0,0.0,0.0,8.2,1500.0,298.0,102.0,Salon
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,KCEJ,M,96.0,42.0,0.0,0.0,8.9,1800.0,136.0,81.0,Salon
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,Kojima Productions,M,94.0,82.0,0.0,0.0,8.7,2300.0,201.0,183.0,Salon
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,KCEJ,M,94.0,19.0,1.0,0.0,8.8,2000.0,74.0,165.0,Salon
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,Naughty Dog,M,95.0,97.0,1.0,0.0,9.2,14100.0,603.0,821.0,Salon
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,Square Enix,T,92.0,61.0,3.0,0.0,7.5,854.0,179.0,205.0,Salon
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,Media Molecule,E,95.0,85.0,0.0,0.0,8.2,1100.0,311.0,85.0,Salon
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,Level 5,E10+,87.0,65.0,0.0,0.0,8.5,213.0,33.0,16.0,Portable
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,Traveller's Tales,E10+,80.0,16.0,1.0,0.0,8.7,105.0,8.0,5.0,Salon
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,Namco,T,89.0,8.0,0.0,0.0,7.9,154.0,73.0,5.0,Salon
Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,Office Create,E,67.0,8.0,25.0,2.0,7.3,10.0,17.0,2.0,Portable
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,Bungie,T,76.0,60.0,34.0,1.0,6.1,2600.0,1400.0,1700.0,Salon
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,Ubisoft Montreal,M,91.0,69.0,1.0,0.0,8.7,1700.0,182.0,56.0,Salon
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,HAL Labs,E,79.0,10.0,0.0,1.0,8.5,413.0,87.0,8.0,Salon
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,Ubisoft Montreal,M,81.0,55.0,22.0,0.0,7.3,758.0,628.0,116.0,Salon
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,Rocksteady Studios,T,96.0,42.0,0.0,0.0,8.8,3100.0,241.0,155.0,Salon
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,Turn 10,E,92.0,90.0,0.0,0.0,8.2,377.0,57.0,33.0,Salon
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,Capcom,T,81.0,41.0,7.0,0.0,8.4,130.0,15.0,15.0,Portable
Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,Nintendo,E,84.0,18.0,1.0,0.0,8.2,95.0,28.0,6.0,Portable
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,Intelligent Systems,E,93.0,24.0,0.0,0.0,7.7,194.0,107.0,30.0,Portable
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,Treyarch,M,85.0,41.0,4.0,0.0,7.8,290.0,109.0,22.0,Salon
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,Traveller's Tales,E,66.0,5.0,15.0,2.0,7.3,179.0,142.0,33.0,Salon
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,Mojang AB,E10+,86.0,21.0,0.0,0.0,6.9,236.0,72.0,76.0,Salon
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,Square Enix,T,83.0,73.0,9.0,1.0,6.3,887.0,514.0,500.0,Salon
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,SquareSoft,T,94.0,21.0,1.0,0.0,8.9,1500.0,88.0,78.0,Salon
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,SquareSoft,T,85.0,38.0,7.0,0.0,7.1,271.0,167.0,82.0,Salon
Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,Rare Ltd.,E,90.0,14.0,0.0,0.0,8.6,292.0,61.0,10.0,Salon
Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,Ubisoft Montreal,M,90.0,79.0,2.0,1.0,8.8,2300.0,224.0,66.0,Salon
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,Level 5,E,85.0,68.0,4.0,0.0,8.3,188.0,33.0,5.0,Portable
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,Core Design Ltd.,T,85.0,12.0,1.0,0.0,8.3,29.0,9.0,2.0,Salon
Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,EA Tiburon,E,94.0,27.0,2.0,0.0,6.5,26.0,7.0,13.0,Salon
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,Level 5,T,89.0,59.0,4.0,0.0,8.6,306.0,18.0,28.0,Salon
Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Blizzard Entertainment,M,88.0,81.0,4.0,1.0,4.2,3000.0,1700.0,5700.0,Salon
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,Nintendo,E,84.0,65.0,5.0,0.0,7.9,767.0,200.0,76.0,Portable
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,Electronic Arts,E,90.0,48.0,0.0,0.0,6.6,303.0,102.0,130.0,Salon
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,Nintendo,E,90.0,56.0,1.0,0.0,7.8,373.0,140.0,35.0,Portable
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,Nintendo,E,71.0,22.0,30.0,0.0,7.8,211.0,68.0,22.0,Portable
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,Sega Sports R&D,E,70.0,10.0,23.0,0.0,7.2,14.0,28.0,1.0,Portable
